Country	Variable	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009
Colombia	StdBankSupervQuality	0	0	0	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1
CostaRica	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
DominicanRep	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	1	1	1	1	1	1	1	1
Ecuador	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1
ElSalvador	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1
Guatemala	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
Honduras	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1
Jamaica	StdBankSupervQuality	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1
Mexico	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1
Nicaragua	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1
Paraguay	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
Peru	StdBankSupervQuality	0	0	0	0	0	0	0	0	0.5	0.5	0.5	1	1	1	1	1	1	1	1	1	1	1	1	1	1
TrinidadTobago	StdBankSupervQuality	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1
Uruguay	StdBankSupervQuality	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1	1	1	1	1	1	1	1
Venezuela	StdBankSupervQuality	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	1
