"PartyCode"	"LR.ideology.prez1"	"market.best"	"LR.ideology.self"	"state.not.solves.problems"	"state.not.in.sanitation"	"state.not.reduce.inequality"	"state.limited.scope"	"economy.best.in.private.sector"	"state.not.in.price.control"	"state.not.in.primsec.edu"	"state.not.in.housing"	"state.not.in.job.creation"	"state.not.in.pensions"	"state.not.in.high.edu"	"state.not.in.unemployment"	"state.not.in.basic.needs"	"privatization.beneficial"	"Year"	"Country"
"Republica Dominicana-1998"	"1 2 3 4 5"	"3 4 5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 7"	"1 2"	"1 10"	"1 3 5 7"	"1 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 2 3 5 7"	"1 3 5 7"	"1 3 5 6 7 8 10"	"1998"	"Republica Dominicana"
"Republica Dominicana-2002"	"1 2 3"	"3 4 5 6 7 8 9 10"	"1 3 4 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 3 5 7"	NA	NA	NA	"1 3 5 7"	"1 3 7"	"1 3 5 7"	"1 3 4 7"	"1 3 5 7"	"1 3 5 7"	"1 2 3 5 7"	"1 3 5 7"	"1 3 5 6 7 8 10"	"2002"	"Republica Dominicana"
"Republica Dominicana-2006"	"1 2 3"	"3 4 5 6 7 8 9 10"	"1 3 5 6 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	NA	"1 2 4 7"	NA	NA	NA	"1 2 3 5 7"	"1 2 4 7"	"1 2 3 5 7"	"1 2 3 4 5 7"	"1 2 3 4 7"	"1 3 4 5 7"	NA	NA	"1 3 6 8 10"	"2006"	"Republica Dominicana"
"Republica Dominicana-2010"	"1 2 3"	"2 4 5 6 7 8 9 10"	"1 2 3 4 5 6 7 8 9 10"	"2 3 4 5 6 7 8 9 10"	NA	NA	"1 2 3 4 5"	NA	"1 2 4 6 7 8 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 6"	"1 2 3 4 5 6 7"	NA	NA	"1 2 3 4 5 6 7 8 9 10"	"2010"	"Republica Dominicana"
"Uruguay-1995"	"1 2 3 4"	"3 4 5 6 7 8 9 10"	NA	"1 2 3 4 5 6 7"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 2 4 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 3 4 5 6 7 10"	"1995"	"Uruguay"
"Uruguay-2000"	"1 2 3 4"	"5 6 7 8 9 10"	"1 3 6 8 10"	"1 2 3 4 5 6 7 8"	"1 2"	NA	"1 7"	"1 2"	"1 10"	"1 3 5 7"	"1 4 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 2 3 5 7"	"1 3 4 6 7 8 10"	"2000"	"Uruguay"
"Uruguay-2005"	"1 2 3 4"	"1 2 3 4 5 6 8"	"1 3 6 8 10"	"1 2 3 4 5 6 7 10"	NA	"1 4 7"	NA	NA	NA	"1 3 4 5 7"	"1 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 4 7"	"1 4 7"	"1 3 4 5 6 7 8 10"	"2005"	"Uruguay"
"Uruguay-2009"	"1 2 3 4"	"1 2 3 4 5 6 8"	"1 2 3 4 5 6 7 8 10"	"1 2 3 4 5 6 7 8"	NA	NA	"1 2 3 4 5"	NA	"1 2 4 6 7 8 10"	NA	NA	NA	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	"1 2 3 4 5 6 7"	NA	NA	"1 2 3 4 5 6 7 8 9 10"	"2009"	"Uruguay"
"Venezuela-1993"	"2 3 4 7 9 11"	"3 4 5 6 7 8 9 10"	NA	"1 2 3 4 5 6 7 8"	"1 2 4 5"	NA	NA	NA	NA	"1 2 4 6 7"	"1 4 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 2 4 6 7"	"1 3 6 7 8 9 10"	"1993"	"Venezuela"
"Venezuela-2000"	"1 2 3 4 5 6"	"1 2 3 4 5 6 7 8 9"	"1 3 5 6 8 10"	"1 2 3 4 5 6 7 8 9 10"	"1 2"	NA	"1 3 5 6 7"	"1 2"	"1 6 10"	"1 3 4 5 7"	"1 4 7"	"1 4 7"	"1 3 5 7"	"1 4 7"	"1 3 5 7"	"1 3 5 7"	"1 3 5 7"	"1 6 7 8 9 10"	"2000"	"Venezuela"
